Name,State,Type,Tuition_out
Tennessee State University,TN,Public,21132
South Carolina State University,SC,Public,21120
University of North Carolina Wilmington,NC,Public,21065
New Jersey City University,NJ,Public,21051
University of Memphis,TN,Public,21029
New Mexico State University-Main Campus,NM,Public,21022
New Mexico Institute of Mining and Technology,NM,Public,20991
University of Illinois at Springfield,IL,Public,20938
Francis Marion University,SC,Public,20918
Texas A & M University-Commerce,TX,Public,20884
The University of Texas at Tyler,TX,Public,20872
University of Wisconsin-Milwaukee,WI,Public,20844
Pennsylvania State University-Penn State Shenango,PA,Public,20810
University of North Florida,FL,Public,20798
University of Baltimore,MD,Public,20704
University of South Carolina-Aiken,SC,Public,20702
North Dakota State University-Main Campus,ND,Public,20692
Southeastern Louisiana University,LA,Public,20631
University of Hawaii at Hilo,HI,Public,20608
University of Southern Maine,ME,Public,20594
University of Louisiana at Monroe,LA,Public,20570
Montclair State University,NJ,Public,20567
Sul Ross State University,TX,Public,20522
University of North Texas,TX,Public,20504
Norfolk State University,VA,Public,20478
Adams State University,CO,Public,20456
Texas A&M University-San Antonio,TX,Public,20404
University of Hawaii-West Oahu,HI,Public,20400
Stockton University,NJ,Public,20357
Colorado Mesa University,CO,Public,20330
Louisiana State University-Shreveport,LA,Public,20320
University of Nebraska at Omaha,NE,Public,20320
Southern Utah University,UT,Public,20288
University of North Carolina at Charlotte,NC,Public,20266
Shippensburg University of Pennsylvania,PA,Public,20186
Metropolitan State University of Denver,CO,Public,20149
University of North Texas at Dallas,TX,Public,20088
Lock Haven University,PA,Public,20056
University of North Dakota,ND,Public,20047
Purdue University Fort Wayne,IN,Public,20005
Emporia State University,KS,Public,19918
University of Missouri-Kansas City,MO,Public,19793
Northeastern Illinois University,IL,Public,19792
Fort Valley State University,GA,Public,19738
Eastern Oregon University,OR,Public,19682
William Paterson University of New Jersey,NJ,Public,19654
Kentucky State University,KY,Public,19638
Sonoma State University,CA,Public,19604
San Jose State University,CA,Public,19601
Virginia State University,VA,Public,19572
University of Alaska Southeast,AK,Public,19533
California State University-San Marcos,CA,Public,19533
